"","X","yearSeason","slugSeason","slugLeague","typeSeason","dateGame","idGame","numberGameTeamSeason","nameTeam","idTeam","isB2B","isB2BFirst","isB2BSecond","locationGame","slugMatchup","slugTeam","countDaysRestTeam","countDaysNextGameTeam","slugOpponent","slugTeamWinner","slugTeamLoser","outcomeGame","namePlayer","numberGamePlayerSeason","countDaysRestPlayer","countDaysNextGamePlayer","idPlayer","isWin","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","hasVideo","fg2m","fg2a","pctFG2","minutes","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts","plusminus","fpts","urlTeamSeasonLogo","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","urlPlayerPhoto"
"1",47,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Al Horford",1,120,120,201143,TRUE,3,4,0.75,2,3,0.666666666666667,NA,TRUE,1,1,1,26,0,0,3,4,7,2,0,0,3,2,8,-7,16.4,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/201143","https://stats.nba.com/media/players/230x185/201143.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png","https://stats.nba.com/media/players/700/201143.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png"
"2",88,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Derrick White",1,120,120,1628401,TRUE,4,6,0.667,1,3,0.333333333333333,0.75,TRUE,3,3,1,32,3,4,0,6,6,2,2,1,1,3,12,7,30.2,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1628401","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png","https://stats.nba.com/media/players/700/1628401.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png"
"3",89,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Sam Hauser",1,120,120,1630573,TRUE,0,4,0,0,4,0,NA,TRUE,0,0,0,14,0,0,0,2,2,0,1,1,0,1,0,5,8.4,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1630573","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630573.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630573.png","https://stats.nba.com/media/players/700/1630573.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4",197,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Jaylen Brown",1,120,120,1627759,TRUE,4,11,0.364,0,4,0,0.75,TRUE,4,7,0.571428571428571,38,3,4,0,6,6,5,1,0,2,5,11,8,26.7,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1627759","https://stats.nba.com/media/players/230x185/1627759.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png","https://stats.nba.com/media/players/700/1627759.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png"
"5",198,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Jayson Tatum",1,120,120,1628369,TRUE,13,22,0.591,3,8,0.375,0.833,TRUE,10,14,0.714285714285714,39,5,6,0,11,11,4,2,1,4,3,34,0,58.2,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1628369","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://stats.nba.com/media/players/700/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png"
"6",244,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Kristaps Porziņģis",1,120,120,204001,TRUE,8,15,0.533,5,9,0.555555555555556,0.9,TRUE,3,6,0.5,38,9,10,1,7,8,0,0,4,1,4,30,13,50.6,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/204001","https://stats.nba.com/media/players/230x185/204001.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204001.png","https://stats.nba.com/media/players/700/204001.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204001.png"
"7",245,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Luke Kornet",1,120,120,1628436,TRUE,0,1,0,0,0,0,NA,TRUE,0,1,0,8,0,0,1,0,1,2,0,1,0,0,0,-1,7.2,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1628436","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628436.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628436.png","https://stats.nba.com/media/players/700/1628436.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628436.png"
"8",246,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Payton Pritchard",1,120,120,1630202,TRUE,1,4,0.25,0,3,0,1,TRUE,1,1,1,11,2,2,0,1,1,1,0,0,0,1,4,-8,6.7,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1630202","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png","https://stats.nba.com/media/players/700/1630202.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"9",303,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Jrue Holiday",1,120,120,201950,TRUE,4,10,0.4,1,5,0.2,NA,TRUE,3,5,0.6,35,0,0,2,2,4,2,0,3,2,3,9,3,23.8,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/201950","https://stats.nba.com/media/players/230x185/201950.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png","https://stats.nba.com/media/players/700/201950.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png"
"10",395,2024,"2023-24","NBA","Regular Season","2023-10-27",22300080,2,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. MIA","BOS",1,2,"MIA","BOS","MIA","W","Jrue Holiday",2,1,2,201950,TRUE,7,13,0.538,1,4,0.25,1,TRUE,6,9,0.666666666666667,36,2,2,2,8,10,7,0,1,1,2,17,4,41.5,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/201950","https://stats.nba.com/media/players/230x185/201950.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png","https://stats.nba.com/media/players/700/201950.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png"
"11",396,2024,"2023-24","NBA","Regular Season","2023-10-27",22300080,2,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. MIA","BOS",1,2,"MIA","BOS","MIA","W","Sam Hauser",2,1,2,1630573,TRUE,1,2,0.5,1,2,0.5,NA,TRUE,0,0,0,10,0,0,0,1,1,0,0,0,0,1,3,6,4.2,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1630573","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630573.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630573.png","https://stats.nba.com/media/players/700/1630573.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"12",439,2024,"2023-24","NBA","Regular Season","2023-10-27",22300080,2,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. MIA","BOS",1,2,"MIA","BOS","MIA","W","Al Horford",2,1,2,201143,TRUE,0,6,0,0,2,0,NA,TRUE,0,4,0,25,0,0,3,7,10,2,0,1,3,1,0,7,15,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/201143","https://stats.nba.com/media/players/230x185/201143.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png","https://stats.nba.com/media/players/700/201143.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png"
"13",440,2024,"2023-24","NBA","Regular Season","2023-10-27",22300080,2,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. MIA","BOS",1,2,"MIA","BOS","MIA","W","Kristaps Porziņģis",2,1,2,204001,TRUE,6,12,0.5,2,6,0.333333333333333,0.75,TRUE,4,6,0.666666666666667,30,3,4,3,6,9,1,3,1,1,6,17,-12,40.3,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/204001","https://stats.nba.com/media/players/230x185/204001.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204001.png","https://stats.nba.com/media/players/700/204001.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204001.png"
"14",441,2024,"2023-24","NBA","Regular Season","2023-10-27",22300080,2,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. MIA","BOS",1,2,"MIA","BOS","MIA","W","Jayson Tatum",2,1,2,1628369,TRUE,9,22,0.409,3,10,0.3,0.333,TRUE,6,12,0.5,41,1,3,0,8,8,5,1,0,2,4,22,13,40.1,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1628369","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://stats.nba.com/media/players/700/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png"
"15",442,2024,"2023-24","NBA","Regular Season","2023-10-27",22300080,2,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. MIA","BOS",1,2,"MIA","BOS","MIA","W","Oshae Brissett",1,120,120,1629052,TRUE,1,2,0.5,0,0,0,NA,TRUE,1,2,0.5,14,0,0,3,2,5,0,0,0,2,1,2,7,6,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1629052","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629052.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629052.png","https://stats.nba.com/media/players/700/1629052.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"16",487,2024,"2023-24","NBA","Regular Season","2023-10-27",22300080,2,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. MIA","BOS",1,2,"MIA","BOS","MIA","W","Jaylen Brown",2,1,2,1627759,TRUE,11,22,0.5,3,7,0.428571428571429,0.5,TRUE,8,15,0.533333333333333,34,2,4,2,4,6,1,2,0,4,1,27,3,37.7,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1627759","https://stats.nba.com/media/players/230x185/1627759.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png","https://stats.nba.com/media/players/700/1627759.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png"
"17",488,2024,"2023-24","NBA","Regular Season","2023-10-27",22300080,2,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. MIA","BOS",1,2,"MIA","BOS","MIA","W","Derrick White",2,1,2,1628401,TRUE,9,15,0.6,5,7,0.714285714285714,0.833,TRUE,4,8,0.5,36,5,6,3,3,6,3,1,3,2,1,28,4,49.7,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1628401","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png","https://stats.nba.com/media/players/700/1628401.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png"
"18",489,2024,"2023-24","NBA","Regular Season","2023-10-27",22300080,2,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. MIA","BOS",1,2,"MIA","BOS","MIA","W","Payton Pritchard",2,1,2,1630202,TRUE,1,1,1,1,1,1,NA,TRUE,0,0,0,13,0,0,0,0,0,1,0,0,0,2,3,8,4.5,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1630202","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png","https://stats.nba.com/media/players/700/1630202.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"19",881,2024,"2023-24","NBA","Regular Season","2023-10-30",22300103,3,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ WAS","BOS",2,1,"WAS","BOS","WAS","W","Derrick White",3,2,1,1628401,TRUE,2,3,0.667,1,2,0.5,NA,TRUE,1,1,1,24,0,0,1,0,1,8,2,1,2,1,5,27,25.2,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1628401","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png","https://stats.nba.com/media/players/700/1628401.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png"
"20",923,2024,"2023-24","NBA","Regular Season","2023-10-30",22300103,3,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ WAS","BOS",2,1,"WAS","BOS","WAS","W","Jayson Tatum",3,2,1,1628369,TRUE,14,21,0.667,4,9,0.444444444444444,1,TRUE,10,12,0.833333333333333,28,1,1,0,6,6,3,0,0,2,2,33,27,42.7,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1628369","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://stats.nba.com/media/players/700/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png"
"21",924,2024,"2023-24","NBA","Regular Season","2023-10-30",22300103,3,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ WAS","BOS",2,1,"WAS","BOS","WAS","W","Oshae Brissett",2,2,1,1629052,TRUE,0,4,0,0,2,0,NA,TRUE,0,2,0,10,0,0,1,1,2,1,1,0,0,2,0,-10,6.9,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1629052","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629052.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629052.png","https://stats.nba.com/media/players/700/1629052.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"22",961,2024,"2023-24","NBA","Regular Season","2023-10-30",22300103,3,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ WAS","BOS",2,1,"WAS","BOS","WAS","W","Jrue Holiday",3,2,1,201950,TRUE,4,7,0.571,1,3,0.333333333333333,1,TRUE,3,4,0.75,27,2,2,1,4,5,3,1,2,1,1,11,28,29.5,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/201950","https://stats.nba.com/media/players/230x185/201950.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png","https://stats.nba.com/media/players/700/201950.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png"
"23",962,2024,"2023-24","NBA","Regular Season","2023-10-30",22300103,3,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ WAS","BOS",2,1,"WAS","BOS","WAS","W","Lamar Stevens",1,120,120,1630205,TRUE,2,2,1,1,1,1,NA,TRUE,1,1,1,6,0,0,2,0,2,0,0,0,3,1,5,-4,4.4,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1630205","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630205.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630205.png","https://stats.nba.com/media/players/700/1630205.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"24",963,2024,"2023-24","NBA","Regular Season","2023-10-30",22300103,3,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ WAS","BOS",2,1,"WAS","BOS","WAS","W","Sam Hauser",3,2,1,1630573,TRUE,3,10,0.3,2,9,0.222222222222222,NA,TRUE,1,1,1,25,0,0,3,5,8,1,0,1,1,3,8,-10,21.1,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1630573","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630573.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630573.png","https://stats.nba.com/media/players/700/1630573.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"25",1004,2024,"2023-24","NBA","Regular Season","2023-10-30",22300103,3,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ WAS","BOS",2,1,"WAS","BOS","WAS","W","Kristaps Porziņģis",3,2,1,204001,TRUE,7,9,0.778,1,2,0.5,NA,TRUE,6,7,0.857142857142857,24,0,0,0,6,6,3,0,1,2,2,15,30,27.7,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/204001","https://stats.nba.com/media/players/230x185/204001.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204001.png","https://stats.nba.com/media/players/700/204001.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204001.png"
"26",1005,2024,"2023-24","NBA","Regular Season","2023-10-30",22300103,3,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ WAS","BOS",2,1,"WAS","BOS","WAS","W","Jaylen Brown",3,2,1,1627759,TRUE,13,24,0.542,8,13,0.615384615384615,0.5,TRUE,5,11,0.454545454545455,32,2,4,0,6,6,2,3,1,0,3,36,32,58.2,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1627759","https://stats.nba.com/media/players/230x185/1627759.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png","https://stats.nba.com/media/players/700/1627759.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png"
"27",1054,2024,"2023-24","NBA","Regular Season","2023-10-30",22300103,3,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ WAS","BOS",2,1,"WAS","BOS","WAS","W","Al Horford",3,2,1,201143,TRUE,4,9,0.444,0,3,0,NA,TRUE,4,6,0.666666666666667,16,0,0,4,1,5,1,2,0,0,1,8,4,21.5,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/201143","https://stats.nba.com/media/players/230x185/201143.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png","https://stats.nba.com/media/players/700/201143.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png"
"28",1055,2024,"2023-24","NBA","Regular Season","2023-10-30",22300103,3,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ WAS","BOS",2,1,"WAS","BOS","WAS","W","Luke Kornet",2,4,1,1628436,TRUE,0,0,NA,0,0,0,NA,TRUE,0,0,0,11,0,0,0,1,1,1,0,0,1,1,0,-11,1.7,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1628436","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628436.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628436.png","https://stats.nba.com/media/players/700/1628436.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628436.png"
"29",1056,2024,"2023-24","NBA","Regular Season","2023-10-30",22300103,3,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ WAS","BOS",2,1,"WAS","BOS","WAS","W","Svi Mykhailiuk",1,120,120,1629004,TRUE,1,2,0.5,1,2,0.5,NA,TRUE,0,0,0,5,0,0,0,0,0,1,1,0,0,0,3,1,7.5,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1629004","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629004.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629004.png","https://stats.nba.com/media/players/700/1629004.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629004.png"
"30",1057,2024,"2023-24","NBA","Regular Season","2023-10-30",22300103,3,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ WAS","BOS",2,1,"WAS","BOS","WAS","W","Payton Pritchard",3,2,1,1630202,TRUE,0,8,0,0,6,0,NA,TRUE,0,2,0,25,0,0,1,6,7,6,1,0,4,3,0,-2,16.4,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1630202","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png","https://stats.nba.com/media/players/700/1630202.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"31",1110,2024,"2023-24","NBA","Regular Season","2023-10-30",22300103,3,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ WAS","BOS",2,1,"WAS","BOS","WAS","W","Dalano Banton",1,120,120,1630625,TRUE,1,3,0.333,0,1,0,NA,TRUE,1,2,0.5,10,0,0,2,0,2,1,0,0,1,1,2,-17,4.9,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1630625","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630625.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630625.png","https://stats.nba.com/media/players/700/1630625.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"32",1194,2024,"2023-24","NBA","Regular Season","2023-11-01",22300118,4,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. IND","BOS",1,2,"IND","BOS","IND","W","Jaylen Brown",4,1,2,1627759,TRUE,7,15,0.467,0,1,0,1,TRUE,7,14,0.5,25,2,2,1,6,7,1,0,0,2,3,16,22,23.9,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1627759","https://stats.nba.com/media/players/230x185/1627759.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png","https://stats.nba.com/media/players/700/1627759.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png"
"33",1195,2024,"2023-24","NBA","Regular Season","2023-11-01",22300118,4,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. IND","BOS",1,2,"IND","BOS","IND","W","Derrick White",4,1,6,1628401,TRUE,7,10,0.7,4,7,0.571428571428571,NA,TRUE,3,3,1,27,0,0,1,2,3,4,0,0,2,3,18,34,25.6,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1628401","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png","https://stats.nba.com/media/players/700/1628401.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png"
"34",1196,2024,"2023-24","NBA","Regular Season","2023-11-01",22300118,4,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. IND","BOS",1,2,"IND","BOS","IND","W","Payton Pritchard",4,1,2,1630202,TRUE,6,10,0.6,2,3,0.666666666666667,1,TRUE,4,7,0.571428571428571,26,1,1,1,3,4,9,0,0,0,2,15,32,33.3,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1630202","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png","https://stats.nba.com/media/players/700/1630202.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"35",1197,2024,"2023-24","NBA","Regular Season","2023-11-01",22300118,4,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. IND","BOS",1,2,"IND","BOS","IND","W","Sam Hauser",4,1,2,1630573,TRUE,5,7,0.714,5,6,0.833333333333333,1,TRUE,0,1,0,19,2,2,0,3,3,0,1,0,1,3,17,23,22.6,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1630573","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630573.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630573.png","https://stats.nba.com/media/players/700/1630573.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
